OrderID,Date,ProductID,CustomerID,EmployeeID,Quantity,UnitPrice
1,22/02/2024 00:00,27,80,27,2,863
2,30/08/2023 00:00,18,17,45,6,232
3,22/10/2024 00:00,24,51,44,6,567
4,10/04/2024 00:00,23,32,26,5,204
5,08/12/2023 00:00,6,109,42,10,31
6,21/07/2024 00:00,16,65,37,4,80
7,02/09/2024 00:00,14,111,15,6,802
8,28/06/2023 00:00,1,142,10,3,563
9,01/09/2023 00:00,8,14,9,1,376
10,07/03/2024 00:00,38,166,2,3,281
11,06/01/2024 00:00,34,59,48,10,497
12,14/02/2023 00:00,33,56,29,9,236
13,04/03/2023 00:00,47,267,20,8,668
14,30/03/2024 00:00,31,206,28,2,512
15,09/10/2023 00:00,5,42,21,10,161
16,27/06/2024 00:00,40,300,36,6,400
17,19/12/2024 00:00,19,233,33,10,450
18,22/08/2023 00:00,8,283,47,4,450
19,17/11/2023 00:00,27,174,30,7,435
20,04/12/2024 00:00,28,161,43,5,393
21,17/01/2024 00:00,31,35,6,55,105
22,04/12/2023 00:00,9,285,4,10,989
23,09/03/2024 00:00,43,63,27,6,904
24,14/08/2024 00:00,47,27,19,10,329
25,25/12/2023 00:00,33,109,10,8,239
26,15/03/2024 00:00,36,189,8,5,597
27,11/12/2024 00:00,36,286,2,10,961
28,14/12/2023 00:00,18,15,12,5,729
29,13/03/2023 00:00,23,4,12,3,589
30,09/04/2024 00:00,10,16,6,9,230
31,04/08/2024 00:00,22,81,24,5,748
32,20/02/2023 00:00,39,44,4,3,171
33,13/09/2024 00:00,44,42,18,8,687
34,20/12/2023 00:00,29,213,18,4,783
35,12/11/2023 00:00,28,57,19,10,508
36,05/11/2023 00:00,3,113,26,10,66
37,08/01/2023 00:00,14,71,49,5,306
38,24/08/2023 00:00,32,221,12,3,399
39,13/02/2023 00:00,33,287,43,6,83
40,15/03/2024 00:00,28,10,30,2,892
41,22/01/2023 00:00,37,208,46,7,306
42,06/01/2024 00:00,21,88,40,8,861
43,20/06/2024 00:00,6,224,7,4,456
44,22/06/2023 00:00,6,203,20,6,236
45,24/12/2023 00:00,5,262,41,2,553
46,27/06/2023 00:00,23,76,16,2,159
47,05/10/2024 00:00,39,79,49,2,191
48,28/11/2024 00:00,32,238,49,10,788
